groupId,artifactId,latest description,earliest release (real) date,latest release (real) date
am.ik.archetype,elm-spring-boot-blank-archetype,Blank multi project for Spring Boot + Elm,20190707Z,20190814Z
am.ik.archetype,graalvm-blank-archetype,Blank project for GraalVM,20191102Z,20191219Z
am.ik.archetype,graalvm-springmvc-blank-archetype,Blank project for GraalVM + Spring MVC,20191119Z,20191216Z
am.ik.archetype,graalvm-springwebflux-blank-archetype,Blank project for GraalVM + Spring MVC,20191216Z,20191216Z
am.ik.archetype,maven-reactjs-blank-archetype,Blank Project for React.js,20150323Z,20150323Z
am.ik.archetype,msgpack-rpc-jersey-blank-archetype,Blank Project for Spring Boot + Jersey,20150117Z,20151115Z
am.ik.archetype,mvc-1.0-blank-archetype,MVC 1.0 Blank Project,20150415Z,20151011Z
am.ik.archetype,spring-boot-blank-archetype,Blank Project for Spring Boot,20141007Z,20151017Z
am.ik.archetype,spring-boot-docker-blank-archetype,Docker Blank Project for Spring Boot,20141201Z,20150504Z
am.ik.archetype,spring-boot-gae-blank-archetype,GAE Blank Project for Spring Boot,20150214Z,20150813Z
am.ik.archetype,spring-boot-jersey-blank-archetype,Blank Project for Spring Boot + Jersey,20141212Z,20150116Z
am.ik.archetype,spring-fu-jafu-blank-archetype,Blank project for Vanilla Spring WebFlux.fn,20181029Z,20181125Z
am.ik.archetype,vanilla-spring-webflux-fn-blank-archetype,Blank project for Vanilla Spring WebFlux.fn,20171220Z,20200212Z
at.chrl.archetypes,chrl-spring-sample,Archetype for Spring Vaadin Webapps,20150818Z,20150912Z
be.cloudway,gramba-aws-lambda-archetype,,20200302Z,20200302Z
biz.turnonline.ecosystem,turnonline-ecosystem-microservice-archetype,TurnOnline.biz Ecosystem: Serverless Microservice Archetype,20190201Z,20200112Z
br.com.address.archetypes,struts2-archetype,an archetype web 3.0 + struts2 (bootstrap + jquery) + JPA 2.1 with struts2 login system,20141210Z,20141220Z
br.com.address.archetypes,struts2-base-archetype,An Archetype with JPA 2.1; Struts2 core 2.3.28.1; Jquery struts plugin; Struts BootStrap plugin; json Struts plugin; Login System using Session and Interceptor,20160629Z,20160629Z
br.com.anteros,Anteros-Archetype,"Anteros Archetype for Java Web projects.",20170316Z,20190122Z
br.com.codecode,vlocadora-json,Modelos com Anotações Gson,20170128Z,20170128Z
br.com.diogoko,maven-doclet-archetype,A Maven archetype to create Doclets for Javadoc,20151102Z,20151102Z
br.com.ingenieux,elasticbeanstalk-docker-dropwizard-webapp-archetype,"A Maven Archetype for Publishing Dropwizard-based Services on AWS' Elastic
        Beanstalk Service",20141006Z,20190930Z
br.com.ingenieux,elasticbeanstalk-javase-archetype,"A Maven Archetype Encompassing Jetty for Publishing Java SE Services on AWS'
        Elastic Beanstalk Service",20160131Z,20190930Z
br.com.ingenieux,elasticbeanstalk-service-webapp-archetype,"A Maven Archetype Encompassing RestAssured, Jetty, Jackson, Guice and Jersey for Publishing JAX-RS-based Services on AWS' Elastic Beanstalk Service",20130107Z,20151229Z
br.com.ingenieux,elasticbeanstalk-wrapper-webapp-archetype,A Maven Archetype Wrapping Existing war files on AWS' Elastic Beanstalk Service,20140801Z,20151229Z
br.com.jarch,dsfnet-javaee-archetype,,20190110Z,20190112Z
br.com.jarch,jarch-dsfnet-archetype,,20190112Z,20190115Z
br.com.jarch,javaee-archetype,Projeto com módulos para a aplicação JAVAEE com JARCH,20190929Z,20200701Z
br.com.jarch.dsfnet,javaee-archetype,Projeto com módulos para a DSF - Desenvolvimento de Sistemas Fiscais,20190110Z,20200701Z
br.com.miguelfontes,java-tooling-template-archetype,"A quickstart archetype with Travis, JUnit 5, Jacoco, Codecov and Sonarcloud pre-configured from the box!",20180715Z,20190309Z
br.com.otavio.vraptor.archetypes,vraptor-archetype-blank,A simple project to start with VRaptor 4,20140218Z,20140218Z
br.gov.frameworkdemoiselle.archetypes,demoiselle-html-rest,"Archetype for web applications (HTML + REST) using Demoiselle Framework",20140716Z,20190307Z
br.gov.frameworkdemoiselle.archetypes,demoiselle-jsf-jpa,"Archetype for web applications (JSF + JPA) using Demoiselle Framework",20120927Z,20190307Z
br.gov.frameworkdemoiselle.archetypes,demoiselle-minimal,"Basic archetype for generic applications using Demoiselle Framework",20120927Z,20190307Z
br.gov.frameworkdemoiselle.archetypes,demoiselle-vaadin-jpa,Archetype for Vaadin web applications,20121203Z,20121203Z
br.gov.frameworkdemoiselle.component.archetypes,jbehave-assertj-archetype,Archetype for automated functional tests in desktop java applications,20181009Z,20181009Z
br.gov.frameworkdemoiselle.component.archetypes,jbehave-fest-archetype,Archetype for automated functional tests in desktop java applications,20161118Z,20181009Z
br.gov.frameworkdemoiselle.component.archetypes,jbehave-junit-archetype,Archetype for automated functional tests in web applications,20161118Z,20181009Z
br.gov.frameworkdemoiselle.component.archetypes,jbehave-selenium-archetype,Archetype for automated functional tests in web applications,20161118Z,20181009Z
ca.bc.gov.open.cpf,cpf-archetype-plugin,CPF Plug-in Maven Arechtype,20160922Z,20180314Z
ca.bc.gov.open.cpf,cpf-archetype-web,Concurrent Processing Framework Archetype Web,20160922Z,20180314Z
ca.dsolutions,java,Basic setup for Java projects with sound and resources folder,20200709Z,20200709Z
ca.dsolutions,javafx,Basic setup for JavaFX projects with setup for deployment outside of IDE,20200709Z,20200709Z
cc.gasches.archetypes,micronaut-groovy-cli,Micronaut Groovy CLI Application Archetype,20190330Z,20190331Z
cc.gasches.archetypes,micronaut-groovy-service,Micronaut Groovy Service Archetype,20190330Z,20190331Z
cc.gasches.archetypes,micronaut-java-cli,Micronaut Java CLI Application Archetype,20190330Z,20190331Z
cc.gasches.archetypes,micronaut-java-function-aws,Micronaut AWS Function Archetype,20190330Z,20190331Z
cc.gasches.archetypes,micronaut-java-service,Micronaut Java Service Archetype,20190330Z,20190331Z
cc.gasches.archetypes,micronaut-kotlin-cli,Micronaut Kotlin CLI Application Archetype,20190330Z,20190331Z
cc.gasches.archetypes,micronaut-kotlin-service,Micronaut Kotlin Service Archetype,20190330Z,20190331Z
