groupId,artifactId,version,release date
am.ik.archetype,elm-spring-boot-blank-archetype,0.0.1,20190707Z
am.ik.archetype,elm-spring-boot-blank-archetype,0.0.2,20190707Z
am.ik.archetype,elm-spring-boot-blank-archetype,0.0.3,20190814Z
am.ik.archetype,graalvm-blank-archetype,0.1.0,20191102Z
am.ik.archetype,graalvm-blank-archetype,0.1.1,20191102Z
am.ik.archetype,graalvm-blank-archetype,0.1.2,20191104Z
am.ik.archetype,graalvm-blank-archetype,0.1.3,20191219Z
am.ik.archetype,graalvm-springmvc-blank-archetype,0.1.0,20191119Z
am.ik.archetype,graalvm-springmvc-blank-archetype,0.1.1,20191119Z
am.ik.archetype,graalvm-springmvc-blank-archetype,0.1.2,20191216Z
am.ik.archetype,graalvm-springwebflux-blank-archetype,0.1.0,20191216Z
am.ik.archetype,maven-reactjs-blank-archetype,1.0.0,20150323Z
am.ik.archetype,msgpack-rpc-jersey-blank-archetype,1.0.2,20150117Z
am.ik.archetype,msgpack-rpc-jersey-blank-archetype,1.0.5,20150525Z
am.ik.archetype,msgpack-rpc-jersey-blank-archetype,1.0.6,20150719Z
am.ik.archetype,msgpack-rpc-jersey-blank-archetype,1.0.7,20151115Z
am.ik.archetype,mvc-1.0-blank-archetype,1.0.0-m01,20150415Z
am.ik.archetype,mvc-1.0-blank-archetype,1.0.0-m02,20151011Z
am.ik.archetype,spring-boot-blank-archetype,0.10.0,20141025Z
am.ik.archetype,spring-boot-blank-archetype,0.10.1,20141118Z
am.ik.archetype,spring-boot-blank-archetype,0.10.2,20141122Z
am.ik.archetype,spring-boot-blank-archetype,0.10.3,20141210Z
am.ik.archetype,spring-boot-blank-archetype,0.9.0,20141007Z
am.ik.archetype,spring-boot-blank-archetype,0.9.1,20141015Z
am.ik.archetype,spring-boot-blank-archetype,0.9.2,20141016Z
am.ik.archetype,spring-boot-blank-archetype,1.0.0,20141211Z
am.ik.archetype,spring-boot-blank-archetype,1.0.1,20141212Z
am.ik.archetype,spring-boot-blank-archetype,1.0.2,20150116Z
am.ik.archetype,spring-boot-blank-archetype,1.0.2.RELEASE,20150116Z
am.ik.archetype,spring-boot-blank-archetype,1.0.5,20150426Z
am.ik.archetype,spring-boot-blank-archetype,1.0.6,20151017Z
am.ik.archetype,spring-boot-docker-blank-archetype,0.9.0,20141201Z
am.ik.archetype,spring-boot-docker-blank-archetype,1.0.0,20141211Z
am.ik.archetype,spring-boot-docker-blank-archetype,1.0.2,20150116Z
am.ik.archetype,spring-boot-docker-blank-archetype,1.0.5,20150504Z
am.ik.archetype,spring-boot-docker-blank-archetype,2.0.0,20150504Z
am.ik.archetype,spring-boot-gae-blank-archetype,1.0.2,20150214Z
am.ik.archetype,spring-boot-gae-blank-archetype,1.0.3,20150214Z
am.ik.archetype,spring-boot-gae-blank-archetype,1.0.4,20150214Z
am.ik.archetype,spring-boot-gae-blank-archetype,1.0.5,20150813Z
am.ik.archetype,spring-boot-jersey-blank-archetype,1.0.0,20141212Z
am.ik.archetype,spring-boot-jersey-blank-archetype,1.0.1,20141212Z
am.ik.archetype,spring-boot-jersey-blank-archetype,1.0.2,20150116Z
am.ik.archetype,spring-fu-jafu-blank-archetype,0.0.1,20181029Z
am.ik.archetype,spring-fu-jafu-blank-archetype,0.0.2,20181029Z
am.ik.archetype,spring-fu-jafu-blank-archetype,0.0.3,20181030Z
am.ik.archetype,spring-fu-jafu-blank-archetype,0.0.4,20181125Z
am.ik.archetype,vanilla-spring-webflux-fn-blank-archetype,0.0.1,20171220Z
am.ik.archetype,vanilla-spring-webflux-fn-blank-archetype,0.0.2,20171221Z
am.ik.archetype,vanilla-spring-webflux-fn-blank-archetype,0.0.3,20171221Z
am.ik.archetype,vanilla-spring-webflux-fn-blank-archetype,0.0.4,20171222Z
am.ik.archetype,vanilla-spring-webflux-fn-blank-archetype,0.0.5,20171227Z
am.ik.archetype,vanilla-spring-webflux-fn-blank-archetype,0.0.6,20180422Z
am.ik.archetype,vanilla-spring-webflux-fn-blank-archetype,0.0.7,20180617Z
am.ik.archetype,vanilla-spring-webflux-fn-blank-archetype,0.0.8,20180820Z
am.ik.archetype,vanilla-spring-webflux-fn-blank-archetype,0.1.0,20180909Z
am.ik.archetype,vanilla-spring-webflux-fn-blank-archetype,0.1.1,20181004Z
am.ik.archetype,vanilla-spring-webflux-fn-blank-archetype,0.1.2,20181017Z
am.ik.archetype,vanilla-spring-webflux-fn-blank-archetype,0.1.3,20181224Z
am.ik.archetype,vanilla-spring-webflux-fn-blank-archetype,0.1.4,20190421Z
am.ik.archetype,vanilla-spring-webflux-fn-blank-archetype,0.2.0,20190421Z
am.ik.archetype,vanilla-spring-webflux-fn-blank-archetype,0.2.1,20190422Z
am.ik.archetype,vanilla-spring-webflux-fn-blank-archetype,0.2.10,20190905Z
am.ik.archetype,vanilla-spring-webflux-fn-blank-archetype,0.2.11,20190906Z
am.ik.archetype,vanilla-spring-webflux-fn-blank-archetype,0.2.12,20190906Z
